cui,fecha,lugar,costo_directo,cluster_kmeans,cluster_dbscan,cluster_hier,anomalia_if,anomalia_dbscan,score_anomalia,indice_riesgo,nivel_riesgo,silhouette_score
2578017,2024-06-28,CHACHAPOYAS - CHACHAPOYAS - AMAZONAS,1566108.39,2,-1,0,0,1,0.0023461941688763255,0.5854496665519733,Alto,0.180217474441018
2624031,2024-11-12,MARISCAL LUZURIAGA,585268.74,1,-1,0,1,1,-0.0034615976640404167,0.5804901604513499,Alto,0.25440714906957146
23,2024-10-21,PIURA - PIURA - PIURA,1002261.23,1,-1,0,0,1,0.012620555448630555,0.5780448733064402,Alto,0.19653607804634024
18,2024-10-01,CHANCAY - HUARAL - LIMA,1212931.43,3,-1,0,1,1,-0.0031254597448326926,0.5772218200690377,Alto,0.2691860389860371
57,2025-02-12,HUABAL - JAEN - CAJAMARCA,4783951.07,3,-1,0,0,1,0.03468651766011055,0.5753112522498025,Alto,0.21501516962703188
56,2025-02-12,HUABAL - JAEN - CAJAMARCA,4783951.07,3,-1,0,0,1,0.03468651766011055,0.5753112522498025,Alto,0.21501516962703188
2025439,2025-05-18,SOCABAYA - AREQUIPA - AREQUIPA,39430631.52,1,-1,0,1,1,-0.0008524299457240425,0.5745688520735149,Alto,0.27871420390227974
2213838,2024-03-26,PALCAZU - OXAPAMPA - PASCO,40539153.06,0,-1,0,1,1,-0.013565563992641971,0.5704782213965183,Alto,0.26783306607850815
2464212,2025-10-16,CUJILLO - CUTERVO - CAJAMARCA,15658742.85,1,-1,0,1,1,-0.012213899047271437,0.5652794791758816,Alto,0.34573243722260616
2105353,2025-07-11,HUARAZ - HUARAZ - ANCASH,593460.99,1,-1,0,1,1,-0.00796451840897161,0.5639578748621357,Alto,0.32048999098690856
2253226,2025-10-28,LEONARDO ORTIZ - CHICLAYO - LAMBAYEQUE,17442838.47,2,-1,0,0,1,0.007881622900836327,0.5638416137793768,Alto,0.21881292484703932
92,2025-04-01,CUTERVO - CUTERVO - CAJAMARCA,23526436.99,2,-1,0,0,1,0.01576709101975471,0.5609915951897251,Alto,0.1989174978687188
2589262,2025-11-20,SOCABAYA - AREQUIPA,28622918.7,1,-1,0,1,1,-0.0050920453243955555,0.551277372563585,Alto,0.3394073591906497
2399289,2024-11-05,EL TAMBO,21296330.61,2,-1,0,0,1,0.0028218782987028956,0.5489791512550891,Alto,0.2939892065528092
2498618,2024-07-13,ANDAMARCA,460264.06,1,-1,0,0,1,0.009371285414230768,0.5471737268754733,Alto,0.2961693466135705
2396228,2024-04-28,CONCHUCOS,26892788.36,2,-1,0,0,1,0.0001504288139512755,0.5450395315978085,Alto,0.3109125430139386
2244233,2025-03-07,UTICYACU,25543982.24,2,-1,0,0,1,0.007578149886083851,0.5380089616150452,Alto,0.305162834452486
2690896,2024-02-11,YAURISQUE - PARURO - CUSCO,35810666.9,1,-1,0,0,1,0.015307472755717366,0.5378412947007811,Alto,0.3102476312802219
94,2025-04-01,RIO TAMBO,1109482.07,3,-1,0,0,1,0.025529970195465546,0.534337730711028,Alto,0.2547088266975609
2452285,2025-02-01,CUPI - MELGAR - PUNO,6123413.17,3,-1,0,0,1,0.04748529650688099,0.534145278836018,Alto,0.2111902156958878
2339513,2024-04-19,EL TAMBO,36438359.7,1,-1,0,0,1,0.017366734806677386,0.5322991587486819,Alto,0.3249549440299582
2113204,2024-11-17,OXAPAMPA,31755512.88,1,-1,0,0,1,0.010843957426524664,0.532244926311095,Alto,0.34013742462502067
2622768,2024-07-21,LEONARDO ORTIZ - CHICLAYO - LAMBAYEQUE,23911357.62,2,-1,0,0,1,0.02040803982659506,0.526462631885292,Alto,0.299907438870204
2323974,2025-03-04,CHACHAPOYAS - CHACHAPOYAS - AMAZONAS,14053594.09,1,-1,0,0,1,0.004533556426925323,0.5250786353638929,Alto,0.4008692141179641
2687889,2024-10-27,HUARMACA - HUANCABAMBA - PIURA,17569019.92,1,-1,0,0,1,0.02194271270029513,0.5205079250469782,Alto,0.31711046556210304
2131919,2024-05-11,HUARMEY,4284815.96,2,-1,0,0,1,0.04160809964463241,0.5187623704334874,Alto,0.2124720665617873
2660950,2024-01-24,ALBARRACIN - TACNA,1394218.69,1,-1,0,0,1,0.018035277848439668,0.5167524673331583,Alto,0.34747853018175295
35,2024-05-15,SAN MARCOS - HUARI - ANCASH,3288723.72,1,-1,0,1,1,-0.011646779965937548,0.5156241020356416,Alto,0.43412606055467484
2541916,2025-03-01,ANDAMARCA,4256306.36,1,-1,0,0,1,0.026109254715083352,0.5150992092133756,Alto,0.38336702564268677
2308038,2024-10-01,YURIMAGUAS - ALTO AMAZONAS - LORETO,21368619.1,3,-1,0,0,1,0.02911904443630564,0.5149057509956493,Alto,0.2937632076370048
70,2024-10-01,PUERTO BERMUDEZ - OXAPAMPA - PASCO,43184419.63,3,-1,0,0,1,0.0076048380404881155,0.5126114980624346,Alto,0.35859912002006106
62,2024-10-01,PUERTO BERMUDEZ - OXAPAMPA - PASCO,43184419.63,3,-1,0,0,1,0.0076048380404881155,0.5126114980624346,Alto,0.35859912002006106
2545580,2024-09-15,CHIMBOTE - SANTA - ANCASH,54786704.13,0,-1,0,0,1,0.004468635149983302,0.509982603072407,Alto,0.38411035698144785
2314925,2024-07-30,BARRANCA - MARAÃON - LORETO,15791950.62,1,-1,0,0,1,0.014286631641160397,0.5093713123947002,Alto,0.40631533836196937
96,2025-01-01,HAQUIRA,5143756.28,3,-1,0,1,1,-0.0018961179536378658,0.508685615976503,Alto,0.39054582914577
2188649,2025-03-28,CONCHUCOS,27643194.82,1,-1,0,0,1,0.04174996668262915,0.5043749871569074,Alto,0.2713218985252508
2673451,2025-04-19,SANTA MARIA DEL VALLE - HUANUCO,3608722.08,2,-1,0,0,1,0.046192822602727945,0.500223285160292,Alto,0.26027365971767846
2456534,2024-10-09,ICA - ICA,36680834.37,0,-1,0,0,1,0.012005566593048078,0.4999063773598691,Medio,0.3494142633089084
29,2024-05-13,RAYMONDI - ATALAYA - UCAYALI,1390460.09,1,-1,0,0,1,0.02136508782232438,0.49817308158978163,Medio,0.3861093717562546
2332612,2025-03-31,OROPESA - QUISPICANCHI - CUSCO,12512586.72,0,-1,0,1,1,-0.006332224624059135,0.4974740291650773,Medio,0.45351279440812414
2288081,2025-11-20,CUTERVO - CUTERVO - CAJAMARCA,3962821.28,1,-1,0,0,1,0.04172626675801644,0.494932493873622,Medio,0.38784899092538117
2008685,2024-02-27,HUARAL - HUARAL - LIMA,4359822.17,2,-1,0,0,1,0.038351874322939794,0.48925726990616764,Medio,0.30363804890253254
2572259,2025-10-14,SAPALLANGA - HUANCAYO - JUNIN,3823016.55,1,-1,0,0,1,0.04603871665996995,0.4880433089289287,Medio,0.39185604177575256
2456386,2025-01-07,LA COIPA - SAN IGNACIO - CAJAMARCA,52620803.7,0,-1,0,0,1,0.004389769936108789,0.4870836459712327,Medio,0.43683758297572217
2343437,2024-12-24,RIO NEGRO - SATIPO - JUNIN,44182425.55,0,-1,0,0,1,0.006486682806739974,0.4858579938042889,Medio,0.4010920158803716
27,2024-12-04,SANTA ROSA - MELGAR - PUNO,5904062.41,3,-1,0,0,1,0.04925589892107296,0.48338386628254776,Medio,0.34904267726131183
2128363,2024-01-07,YAURISQUE - PARURO - CUSCO,15349993.28,0,-1,0,1,1,-0.01267115473906344,0.4827549964662264,Medio,0.43075692164902674
3,2025-11-01,CALLAYUC Y SANTA CRUZ - CUTERVO - CAJAMARCA,19667447.34,3,-1,0,0,1,0.04636324712975032,0.4822261344795558,Medio,0.3261825463438523
2116832,2024-11-30,CHINCHA ALTA - CHINCHA -ICA,3474584.47,1,-1,0,0,1,0.04728789403082395,0.480190980893773,Medio,0.39932021626174813
2313820,2024-09-10,TAPUC - DANIEL ALCIDES CARRION - PASCO,3693792.99,2,-1,0,0,1,0.05051690223295907,0.48004582563992126,Medio,0.2926341489093672
2367527,2025-05-24,SAPALLANGA,16465914.92,1,-1,0,0,1,0.040114218435652715,0.4795207972832122,Medio,0.37092635190720247
63,2025-03-01,HUARMACA - HUANCABAMBA - PIURA,15741110.2,0,-1,0,1,1,-0.0017538430129385718,0.4772270162880031,Medio,0.4056665378075269
2493333,2025-03-01,RIO TAMBO,996608.14,3,-1,0,0,1,0.02604537458313133,0.4771263108587397,Medio,0.44114415473437124
71,2021-10-31,PAMPAS CHICO - RECUAY - ANCASH,17733462.99,0,-1,0,0,1,0.0036060269363334396,0.47389249422117624,Medio,0.41821676091145327
2453734,2024-03-23,CONCHUCOS,45070001.78,0,-1,0,0,1,0.017639793447777607,0.47325416497484396,Medio,0.4059004302349819
2006464,2024-09-17,CUJILLO - CUTERVO - CAJAMARCA,4539100.35,1,-1,0,0,1,0.0594517182126702,0.4727685090668795,Medio,0.38239048707307915
64,2024-12-01,LEONARDO ORTIZ - CHICLAYO - LAMBAYEQUE,9548575.28,3,-1,0,0,1,0.039043071595028844,0.4717719297811616,Medio,0.3739181617892422
2141141,2025-07-09,ICA - ICA,665930.34,3,-1,0,0,1,0.04484640193416062,0.46961191698101046,Medio,0.3700248469539659
100,2025-01-10,SANTIAGO DE PAUCARAY,4259255.28,3,-1,0,0,1,0.05131561426824749,0.46729238625617,Medio,0.3673325304989087
2021818,2024-12-12,PAUCARPATA - AREQUIPA,17857794.33,1,-1,0,0,1,0.04559435249492588,0.4651199920943308,Medio,0.3547840261807623
2095367,2024-06-01,UTCO - CELENDIN - CAJAMARCA,40513215.87,0,-1,0,0,1,0.024015729205233594,0.46252367107264947,Medio,0.38777070208736136
2156278,2024-04-06,HAQUIRA,43131324.63,3,-1,0,0,1,0.04073407356486014,0.4609910281788944,Medio,0.3899956568296816
2632858,2024-09-03,PALCAZU - OXAPAMPA - PASCO,4791785.08,2,-1,0,0,1,0.044283763283652466,0.46076986951801063,Medio,0.37113158182091033
65,2024-12-28,PIURA - PIURA,12829880.96,3,-1,0,0,1,0.04311578162723406,0.4606875703020435,Medio,0.40747367908086246
2168155,2025-09-20,HUARAZ - HUARAZ - ANCASH,3714477.64,1,-1,0,0,1,0.05283678407330805,0.4596172290018066,Medio,0.42917081406103447
2320258,2025-12-23,PIURA - PIURA,16635468.46,0,-1,0,0,1,0.015888225332374772,0.45958312091546943,Medio,0.42470120969408415
2627177,2024-09-19,OXAPAMPA,16732255.07,0,-1,0,0,1,0.002845814670955016,0.4579485258349728,Medio,0.42886235063111294
2160334,2025-12-19,SAPALLANGA,884953.92,1,-1,0,0,1,0.028113192093063233,0.45557812523944125,Medio,0.46115801971191467
2146382,2024-08-27,YURIMAGUAS - ALTO AMAZONAS - LORETO,4560959.19,2,-1,0,0,1,0.05026896682385995,0.454034078835182,Medio,0.36558220467184094
2377329,2025-04-01,EL TAMBO,24010324.76,1,-1,0,0,1,0.06482230815044199,0.45256553951109807,Medio,0.3302037305196909
2377329,2025-04-01,EL TAMBO,24010324.76,1,-1,0,0,1,0.06482230815044199,0.45256553951109807,Medio,0.3302037305196909
34,2024-06-18,SAN FRANCISCO DE ASIS DE YARUSYACAN - PASCO - PASCO,794294.15,3,-1,0,0,1,0.04713131978442747,0.45236989013540874,Medio,0.396376546743443
2015767,2025-02-06,CUTERVO - CUTERVO - CAJAMARCA,31322697.77,0,-1,0,0,1,0.019274129038629906,0.4518459793251792,Medio,0.43209729207193687
2102345,2025-03-31,RIO NEGRO - SATIPO - JUNIN,22782594.7,1,-1,0,0,1,0.027289781943484803,0.4515517310698641,Medio,0.4543237804655756
2483786,2025-02-18,HUALMAY - HUAURA - LIMA,33319573.73,3,-1,0,0,1,0.04075026431851797,0.45021495955806484,Medio,0.40807532336825647
2453214,2025-07-09,SAPALLANGA,16675847.82,0,-1,0,0,1,0.03611538247094204,0.44987864662289445,Medio,0.3645558773640421
2141681,2024-03-28,PAUCARPATA - AREQUIPA,790243.57,0,-1,0,0,1,0.038016873752176605,0.449502918316996,Medio,0.3688228902413185
2047935,2025-07-23,ICA - ICA,630035.29,0,-1,0,0,1,0.00870454567692247,0.4478766604042162,Medio,0.46169695416820644
2057396,2024-04-13,MARCARA,47312603.7,0,-1,0,0,1,0.03022682557352524,0.44763347127187214,Medio,0.45010027658797913
2438523,2025-02-18,CHANCAY - HUARAL - LIMA,1123544.41,3,-1,0,0,1,0.06604131641313282,0.4466318810997705,Medio,0.3552040862933038
2521198,2025-11-01,OXAPAMPA,858175.84,0,-1,0,0,1,0.026599227963943928,0.44660816843010265,Medio,0.4050201413012597
2373230,2025-04-09,HUARMEY,881256.11,3,-1,0,0,1,0.05203579916987883,0.4465547144697839,Medio,0.4033021921988267
2390998,2025-12-15,PIURA - PIURA - PIURA,17949060.07,0,-1,0,0,1,0.023715700317317345,0.4454683614317587,Medio,0.40566968156789435
55,2025-02-01,LA COIPA - SAN IGNACIO - CAJAMARCA,3758698.81,3,-1,0,0,1,0.07280625224361298,0.4447843543468609,Medio,0.35323564052733014
2555036,2024-03-12,PALCAZU - OXAPAMPA - PASCO,16295740.42,0,-1,0,0,1,0.016742467716631404,0.4443170213219654,Medio,0.4243056486136472
2374555,2024-06-12,SAN JUAN DE RONTOY,3790686.75,0,-1,0,0,1,0.012838854383344811,0.44269349059063934,Medio,0.44949833280460744
2273236,2025-05-07,SOCABAYA - AREQUIPA,23655020.4,3,-1,0,0,1,0.059693912901967294,0.4402259558112889,Medio,0.3755718823804631
2139941,2024-06-14,PUERTO BERMUDEZ - OXAPAMPA - PASCO,24892723.8,1,-1,0,0,1,0.05485869261602638,0.4400874871105876,Medio,0.39671259130560704
2314370,2025-04-27,SAN JUAN DE RONTOY,829520.58,3,-1,0,0,1,0.05507203899627916,0.43986256463800055,Medio,0.44158776209288025
2463571,2024-05-17,ALBARRACIN - TACNA,20596140.95,0,-1,0,0,1,0.017572571901951384,0.4396054138443817,Medio,0.44969037024517616
2100965,2024-05-26,PIURA - PIURA - PIURA,3942024.95,0,-1,0,0,1,0.020806399917668583,0.4370033296995883,Medio,0.43160034191205093
2196631,2025-12-03,BARRANCA - MARAÃON - LORETO,1844963.56,3,-1,0,0,1,0.013050727181076582,0.4364951498777178,Medio,0.5161832966956508
2153400,2025-11-11,PURUS - PURUS - UCAYALI,1980538.76,3,-1,0,0,1,0.0714339665226878,0.43445077283475353,Medio,0.3801885427086824
2130557,2025-09-25,HUARAZ - HUARAZ - ANCASH,555136.19,0,-1,0,0,1,0.02680421276546141,0.43347697257565043,Medio,0.4489706243975247
2671920,2024-05-23,PURUS - PURUS - UCAYALI,839606.47,3,-1,0,0,1,0.05860231394622051,0.431449252983722,Medio,0.448531282816059
2699253,2025-12-30,SAPALLANGA,2231500.34,3,-1,0,0,1,0.028033103738421716,0.4306166598408098,Medio,0.4975619589895474
2488757,2024-05-11,OXAPAMPA,1166830.89,1,-1,0,0,1,0.04583895573954383,0.4300458671975291,Medio,0.4690324802224038
2453214,2025-07-01,SAPALLANGA - HUANCAYO - JUNIN,16725086.99,0,-1,0,0,1,0.046466097834274356,0.4287689515773837,Medio,0.3995675471178529
2353449,2025-01-03,CUJILLO - CUTERVO - CAJAMARCA,11827627.73,3,-1,0,0,1,0.0556764915013947,0.4230787647942203,Medio,0.43518028606040615
93,2025-03-31,CONCHUCOS,673379.49,0,-1,0,0,1,0.034471857002579986,0.42254740478425395,Medio,0.4478739686735251
2304836,2024-09-15,SAN VICENTE DE CAÃETE - CAÃETE - LIMA,4393640.48,0,-1,0,0,1,0.048246473274227875,0.4207607007107369,Medio,0.40674494955977053
13,2025-06-01,CUTERVO - CUTERVO - CAJAMARCA,14172106.14,3,-1,0,0,1,0.05531223981362515,0.42045065007613375,Medio,0.43774530077025536
2356790,2025-01-16,CATILLUC - SAN MIGUEL - CAJAMARCA,6562913.03,0,-1,0,0,1,0.03516809538202814,0.41849817324084215,Medio,0.43281930587453826
2683540,2024-02-25,RIO TAMBO,4990444.91,3,-1,0,0,1,0.07571880289893729,0.41705502098360586,Medio,0.42221801702376494
2580139,2024-04-09,RIO TAMBO,5169875.83,0,-1,0,0,1,0.025996130961972674,0.41702255894850415,Medio,0.4539745077295004
2541077,2024-09-16,SAN MARCOS - HUARI - ANCASH,4430690.97,0,-1,0,0,1,0.029771116169329315,0.41701615811917664,Medio,0.45049579534838413
2477515,2025-01-04,HAQUIRA,16887467.28,3,-1,0,0,1,0.04836432575540567,0.4131100309547287,Medio,0.48382018812243527
2163164,2024-03-01,UTCO - CELENDIN - CAJAMARCA,2099610.94,3,-1,0,0,1,0.04390872740029944,0.4117278268060949,Medio,0.49205954464019963
2373818,2024-10-20,ABANCAY - APURIMAC,7973389.88,0,-1,0,0,1,0.03180489946452808,0.41142273133088597,Medio,0.4682932700858896
2505734,2025-03-01,SOCABAYA - AREQUIPA,1754392.2,3,-1,0,0,1,0.044523890130139465,0.4111160543861466,Medio,0.49141677979531617
2501963,2024-04-21,CONCHUCOS,15808159.26,0,-1,0,0,1,0.043046557645410766,0.40921657340289413,Medio,0.47166338501843214
2284251,2024-04-20,ELEAZAR GUZMAN B. - MARISCAL LUZURRIAGA - ANCASH,6581544.2,0,-1,0,0,1,0.03568874932155752,0.4087968569939982,Medio,0.468393373174653
2324577,2025-05-11,SOCABAYA - AREQUIPA - AREQUIPA,27449515.77,0,-1,0,0,1,0.04262755022287329,0.4085230372079885,Medio,0.44267568586327016
16,2025-04-09,CUJILLO - CUTERVO - CAJAMARCA,7044596.74,3,-1,0,0,1,0.09901310339433833,0.4084385428662226,Medio,0.33683597152961736
2151954,2025-10-10,ATALAYA,709403.38,0,-1,0,0,1,0.028614797320443697,0.40749522963107154,Medio,0.4881208904859508
2315965,2025-09-01,SURCUBAMBA,6062836.15,3,-1,0,0,1,0.0599881055505585,0.4068754481580064,Medio,0.4287390199808634
2616489,2025-02-13,CIELOPUNCO,26762462.72,3,-1,0,0,1,0.055389954080828696,0.40473851522672494,Medio,0.47166320164963765
2208648,2025-08-19,CHACHAPOYAS - CHACHAPOYAS - AMAZONAS,10587724.51,3,-1,0,0,1,0.05368750995345706,0.4026836572574697,Medio,0.4828293916585122
2699105,2025-10-07,CHIMBOTE - SANTA - ANCASH,750963.44,3,-1,0,0,1,0.06322452102872594,0.40259206061767777,Medio,0.476383399956556
2327327,2025-02-26,PAUCARPATA - AREQUIPA,1564887.93,3,-1,0,0,1,0.0823539040711917,0.40185063712214186,Medio,0.4183423058599341
2567753,2025-05-12,PALCAZU - OXAPAMPA - PASCO,9539988.73,3,-1,0,0,1,0.07301843076303188,0.40152333608112245,Medio,0.4240017095795227
2259386,2025-01-14,CHINCHA ALTA - CHINCHA -ICA,9099607.43,0,-1,0,0,1,0.04392957570151862,0.4012659913119897,Medio,0.44991363592424743
2017713,2025-11-24,CATILLUC - SAN MIGUEL - CAJAMARCA,6930894.28,0,-1,0,0,1,0.046357109023102194,0.40121576485766397,Medio,0.4519977794077984
